Name,Heteronyms
宓,宓󠇡
宔,宔󠇡
宛,宛󠇡
宲,宲󠇡
家,家󠇡
宿,"宿󠇡,宿󠇢"
寈,寈󠇡
寕,寕󠇡
寗,寗󠇡
寜,寜󠇡
寠,寠󠇡
寣,寣󠇡
實,實󠇡
寧,寧󠇡
寶,寶󠇡
寽,"寽󠇡,寽󠇢"
射,"射󠇡,射󠇢"
将,"将󠇡,将󠇢"
將,"將󠇡,將󠇢"
尉,尉󠇡
尐,"尐󠇡,尐󠇢"
少,少󠇡
尛,"尛󠇡,尛󠇢,尛󠇣"
尞,"尞󠇡,尞󠇢"
尨,"尨󠇡,尨󠇢"
尰,尰󠇡
尶,尶󠇡
尺,尺󠇡
屇,屇󠇡
届,届󠇡
屎,屎󠇡
屏,屏󠇡
屛,"屛󠇡,屛󠇢"
属,属󠇡
屟,屟󠇡
屬,屬󠇡
屯,"屯󠇡,屯󠇢"
屰,屰󠇡
岝,岝󠇡
岞,岞󠇡
岨,"岨󠇡,岨󠇢"
峆,峆󠇡
峇,峇󠇡
峎,峎󠇡
峏,峏󠇡
峒,峒󠇡
峗,峗󠇡
峘,峘󠇡
峝,峝󠇡
峞,峞󠇡
峥,峥󠇡
峫,峫󠇡
峵,峵󠇡
崀,崀󠇡
崋,崋󠇡
崕,"崕󠇡,崕󠇢"
崗,崗󠇡
崝,"崝󠇡,崝󠇢"
崥,崥󠇡
崫,崫󠇡
嵃,嵃󠇡
嵅,嵅󠇡
嵌,嵌󠇡
嵍,嵍󠇡
嵑,"嵑󠇡,嵑󠇢"
嵠,嵠󠇡
嵣,"嵣󠇡,嵣󠇢"
嵪,嵪󠇡
嶉,嶉󠇡
嶏,嶏󠇡
嶖,嶖󠇡
嶜,嶜󠇡
嶡,嶡󠇡
嶣,嶣󠇡
嶦,嶦󠇡
嶨,嶨󠇡
嶬,嶬󠇡
嶭,嶭󠇡
嶳,嶳󠇡
嶷,嶷󠇡
嶻,嶻󠇡
巀,巀󠇡
巁,巁󠇡
巂,巂󠇡
巜,巜󠇡
差,"差󠇡,差󠇢,差󠇣"
巰,巰󠇡
巴,巴󠇡
巺,巺󠇡
巻,"巻󠇡,巻󠇢"
帣,帣󠇡
帬,帬󠇡
帰,帰󠇡
帴,帴󠇡
帹,帹󠇡
帺,帺󠇡
幂,幂󠇡
幅,幅󠇡
幆,幆󠇡
幈,"幈󠇡,幈󠇢"
幍,幍󠇡
幏,幏󠇡
幒,幒󠇡
幓,幓󠇡
幧,幧󠇡
幪,幪󠇡
幬,幬󠇡
幯,幯󠇡
平,"平󠇡,平󠇢"
并,并󠇡
幷,幷󠇡
幹,幹󠇡
幾,幾󠇡
庉,庉󠇡
庋,庋󠇡
庍,庍󠇡
庛,庛󠇡
度,度󠇡
庨,庨󠇡
庬,"庬󠇡,庬󠇢"
庰,庰󠇡
庱,庱󠇡
庳,庳󠇡
廀,"廀󠇡,廀󠇢"
廆,廆󠇡
廏,廏󠇡
廐,廐󠇡
廑,"廑󠇡,廑󠇢"
廮,廮󠇡
开,"开󠇡,开󠇢"
弁,弁󠇡
弄,弄󠇡
弅,弅󠇡
弌,"弌󠇡,弌󠇢"
弎,"弎󠇡,弎󠇢"
弜,弜󠇡
弞,弞󠇡
弟,"弟󠇡,弟󠇢"
弥,弥󠇡
弴,弴󠇡
強,"強󠇡,強󠇢"
弸,弸󠇡
弹,弹󠇡
强,"强󠇡,强󠇢"
弽,弽󠇡
弾,弾󠇡
彈,彈󠇡
彊,"彊󠇡,彊󠇢"
彍,"彍󠇡,彍󠇢"
归,归󠇡
当,"当󠇡,当󠇢"
彣,彣󠇡
彲,彲󠇡
彴,彴󠇡
彷,彷󠇡
彽,彽󠇡
彾,彾󠇡
待,待󠇡
徊,徊󠇡
徎,徎󠇡
徏,徏󠇡
従,"従󠇡,従󠇢,従󠇣"
得,"得󠇡,得󠇢"
從,"從󠇡,從󠇢,從󠇣"
徠,徠󠇡
徧,徧󠇡
徱,徱󠇡
徴,徴󠇡
徵,徵󠇡
徼,"徼󠇡,徼󠇢"
忏,忏󠇡
忒,忒󠇡
忔,忔󠇡
忕,忕󠇡
忚,忚󠇡
忛,忛󠇡
応,応󠇡
忨,忨󠇡
忪,忪󠇡
忲,忲󠇡
忹,忹󠇡
忼,忼󠇡
忾,忾󠇡
怀,怀󠇡
怌,怌󠇡
怐,怐󠇡
怔,怔󠇡
怗,怗󠇡
怜,怜󠇡
思,"思󠇡,思󠇢"
怞,"怞󠇡,怞󠇢"
怫,"怫󠇡,怫󠇢"
怷,怷󠇡
怸,怸󠇡
恁,恁󠇡
恄,恄󠇡
恖,"恖󠇡,恖󠇢"
恗,恗󠇡
恫,恫󠇡
息,"息󠇡,息󠇢"
悁,悁󠇡
悂,悂󠇡
悆,悆󠇡
悊,悊󠇡
悓,"悓󠇡,悓󠇢"
悗,悗󠇡
悪,"悪󠇡,悪󠇢,悪󠇣"
悶,悶󠇡
悹,悹󠇡
悾,悾󠇡
惀,惀󠇡
惉,惉󠇡
惊,惊󠇡
惏,惏󠇡
惐,惐󠇡
惒,"惒󠇡,惒󠇢,惒󠇣,惒󠇤,惒󠇥"
惛,惛󠇡
惝,惝󠇡
惡,"惡󠇡,惡󠇢,惡󠇣"
惤,惤󠇡
惥,惥󠇡
惩,惩󠇡
惮,惮󠇡
愂,愂󠇡
愒,愒󠇡
愖,愖󠇡
愙,愙󠇡
愞,愞󠇡
愢,"愢󠇡,愢󠇢"
慀,慀󠇡
慂,慂󠇡
慅,慅󠇡
慊,慊󠇡
慒,慒󠇡
慔,慔󠇡
慥,慥󠇡
慪,慪󠇡
慺,慺󠇡
憅,憅󠇡
憆,憆󠇡
憇,憇󠇡
憍,憍󠇡
憕,"憕󠇡,憕󠇢"
憞,憞󠇡
憪,憪󠇡
憭,憭󠇡
憹,憹󠇡
憿,"憿󠇡,憿󠇢"
懄,懄󠇡
應,應󠇡
懕,懕󠇡
懙,懙󠇡
懜,懜󠇡
懝,懝󠇡
懢,懢󠇡
戂,戂󠇡
戅,戅󠇡
戇,戇󠇡
戏,"戏󠇡,戏󠇢"
戝,戝󠇡
戞,戞󠇡
戠,"戠󠇡,戠󠇢"
戧,戧󠇡
戬,戬󠇡
戭,戭󠇡
戯,"戯󠇡,戯󠇢"
戱,"戱󠇡,戱󠇢"
戲,戲󠇡
扁,扁󠇡
扆,扆󠇡
扇,扇󠇡
扎,扎󠇡
扒,扒󠇡
扛,扛󠇡
扠,扠󠇡
扡,扡󠇡
扢,扢󠇡
抅,抅󠇡
抇,抇󠇡
把,把󠇡
抌,抌󠇡
抓,抓󠇡
折,"折󠇡,折󠇢"
抚,抚󠇡
抝,"抝󠇡,抝󠇢,抝󠇣,抝󠇤"
択,択󠇡
抦,抦󠇡
抩,抩󠇡
抪,抪󠇡
抰,抰󠇡
抷,抷󠇡
抹,抹󠇡
抻,抻󠇡
抾,抾󠇡
担,担󠇡
拓,拓󠇡
拗,"拗󠇡,拗󠇢,拗󠇣"
拜,拜󠇡
拞,"拞󠇡,拞󠇢"
拟,拟󠇡
括,括󠇡
拵,拵󠇡
拶,拶󠇡
拾,拾󠇡
挊,"挊󠇡,挊󠇢,挊󠇣"
挍,"挍󠇡,挍󠇢"
挎,挎󠇡
挏,挏󠇡
挑,挑󠇡
挛,挛󠇡
挟,"挟󠇡,挟󠇢"
挡,挡󠇡
挣,挣󠇡
挩,挩󠇡
挱,"挱󠇡,挱󠇢"
挳,挳󠇡
挵,"挵󠇡,挵󠇢,挵󠇣"
挷,挷󠇡
挼,"挼󠇡,挼󠇢"
捀,捀󠇡
捄,捄󠇡
捋,"捋󠇡,捋󠇢"
捎,捎󠇡
捑,捑󠇡
捔,捔󠇡
捖,捖󠇡
捘,捘󠇡
捝,捝󠇡
捥,捥󠇡
捬,捬󠇡
捭,捭󠇡
据,据󠇡
捼,捼󠇡
捾,捾󠇡
捿,捿󠇡
掃,掃󠇡
掄,掄󠇡
掊,掊󠇡
掍,掍󠇡
排,排󠇡
